<Léandre> 0min:42sec
<Léandre> 0min:18sec
<AntoineLeCon> 0min:47sec
<Leandre> 0min:46sec
<AntoineLeCon> 0min:7sec
<Leo Le Con> 0min:7sec
<Dark Plageis Le Sag> 0min:48sec
<Dark Plageis Le Sag> 0min:14sec
<Leandre> 1min:35sec
<Leandre> 4min:18sec
<Leandre> 0min:22sec
<Leandre> 2min:39sec
<Leandre> 1min:0sec
<Leandre> 0min:29sec
<Leandre> 0min:41sec
<Leandre> 0min:16sec
<yolol> 0min:22sec
<Léandre> 0min:8sec
<Léandre> 0min:35sec
<Léandre> 4min:2sec
<Leandre> 0min:59sec
<Leandre> 0min:16sec
<Leandre> 1min:25sec
<Leandre> 0min:17sec
<Leandre> 0min:55sec
<Leandre> 1min:43sec
<Leandre> 0min:24sec
<Leandre> 0min:7sec
<Leandre> 2min:2sec
<Leandre> 3min:48sec
<Leandre> 0min:35sec
<Leandre> 0min:10sec
<Leandre> 0min:18sec
<Leandre> 2min:25sec
<salut> 0min:12sec
<Leandre> 1min:46sec
<Leandre> 0min:41sec
<leandre> 1min:2sec
<leandre> 0min:55sec
<Haziz> 0min:14sec
<Léandre> 0min:50sec
<Leandre> 0min:40sec
<Leandre> 0min:38sec
<Leandre> 1min:49sec
<Leandre> 0min:7sec
<> 0min:28sec
<Leandre> 0min:51sec
<Leandre> 1min:0sec
